Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
6225,1TPD14,Tornillo Punta Diamante 1/4 | X10 Unidades | 1TPD14,,onbackorder,no,,simple,
6230,3002PC,Botón Tapa Persiana | Paquete X 10 Unidades | 3002PC,true,instock,no,340,simple,
6232,3003PC,Botón Cojineria KENWORTH | Paquete X 10 Unidades | 3003PC,,onbackorder,no,,simple,
6235,3007PC,Botón Cojineria EAGLE | Paquete X 10 Unidades | 3007PC,true,instock,no,12,simple,
6237,3012PC,Botón Tapagoloso Punta Diamante | Paquete X 10 Unidades | 3012PC,,onbackorder,no,,simple,
7959,3020,Tapa Tuerca 5" Cilíndrica 33mm | X 5 Unidades | 3020,,instock,no,,variable,
7962,3018P,Tapa Tuerca 5" Hexagonal 41mm Presión | X 5 Unidades | 3018P,,onbackorder,no,,simple,
7964,2012,Tapa Tuerca Rin Disco 33mm Esfera | X10 Unidades | 2012,,instock,no,,variable,
7967,3017P,Tapa Tuerca 3"1/2 Hexagonal 41mm Presión | X 5 Unidades | 3017P,,onbackorder,no,,simple,
7968,MTM-014M2A,Matamosco Desviador En Acrílico y Aluminio Freightliner M2 | MTM-014M2A,true,instock,no,1,simple,
7969,MTM-004A,Matamosco Desviador En Acrílico y Aluminio Poderosa | MTM-004A,true,instock,no,7,simple,
7970,MTM-006A,Matamosco Desviador En Acrílico y Aluminio ProStar | MTM-006A,true,instock,no,1,simple,
7971,MTM-005A,Matamosco Desviador En Acrílico y Aluminio WorkStar | MTM-005A,true,outofstock,no,,simple,
7972,MTM-017A,Matamosco Desviador En Acrílico y Aluminio Kenworth | MTM-017A,true,outofstock,no,,simple,
7973,MTM-014A,Matamosco Desviador En Acrílico y Aluminio Freightliner Columbia | MTM-014A,true,outofstock,no,,simple,
7974,MTM-015A,Matamosco Desviador En Acrílico y Aluminio Eagle | MTM-015A,true,instock,no,1,simple,
7975,MTM-INTA,Matamosco Desviador En Acrílico y Aluminio DuraStar Caregato | MTM-INTA,true,instock,no,10,simple,
7976,MTM-012CZ,Matamosco Desviador En Acrílico y Aluminio Carezapato | MTM-012CZ,true,instock,no,11,simple,
7977,MTM-INT94,Matamosco Desviador En Acrílico y Aluminio Inter 94 Caremarrano | MTM-INT94,true,outofstock,no,,simple,
7978,3013PC,Botón Tapagoloso Punta Plana | Paquete X 10 Unidades | 3013PC,,onbackorder,no,,simple,
7979,3TPD16,Tornillo Punta Diamante 3/16 | Paquete X 10 Unidades | 3TPD16,,onbackorder,no,,simple,
9951,LT400,Lámpara Capotera 13 Leds | LT400,,instock,no,,variable,
10003,L125,Lámpara Lateral Rectangular Mediana | L125,,instock,no,,variable,
10058,L110,Lámpara Lateral Plana 12 Leds | L110,,instock,no,,variable,
10109,L102,Lámpara Lateral 7 Leds | L102,,instock,no,,variable,
10160,L101,Lámpara Lateral 6 Leds | L101,,instock,no,,variable,
10211,L126,Lámpara Lateral Morrison Neón con Aro Marcado | L126,,instock,no,,variable,
10262,L123,Lámpara Lateral Rectangular Pequeña Neón Lux | L123,,instock,no,,variable,
10315,L115,Lámpara Lateral 18 Led SMD | L115,,instock,no,,variable,
10370,L114,Lámpara Lateral 12 Led Combinado | L114,,instock,no,,variable,
10423,L113,Lámpara Lateral Perlada 12 Led SMD | L113,,instock,no,,variable,
10476,L112,Lámpara Lateral Rectangular Neón Lux | L112,,instock,no,,variable,
10534,S429,Stop Triple Neón con Regleta | S429,,instock,no,,variable,
10586,L109,Lámpara Direccional Flecha 30 Led | L109,,instock,no,,variable,
10816,L108,Lámpara Lateral 24 Led | L108,,instock,no,,variable,
10867,L106,Lámpara Lateral 12 Led Apolo | L106,,instock,no,,variable,
10920,L104,Lámpara Lateral 16 Led American | L104,,instock,no,,variable,
10974,L103,Lámpara Lateral 8 Led | L103,,instock,no,,variable,
11490,L109A-PA,Led Amarillo - Pasta Amarilla Aro en acero ,true,outofstock,no,,product-variant,10586
11491,L109P-PA,Led Amarillo - Pasta Amarilla Aro en plástico ,,onbackorder,no,,product-variant,10586
11492,L109SP-PA,Led Amarillo - Pasta Amarilla Aro en plástico de sobreponer ,,onbackorder,no,,product-variant,10586
11493,L109PA,Led Amarillo - Pasta Amarilla Sin Aro ,true,outofstock,no,,product-variant,10586
11494,L109A-AM,Led Amarillo - Pasta Transparente Aro en acero ,true,outofstock,no,,product-variant,10586
11495,L109P-AM,Led Amarillo - Pasta Transparente Aro en plástico ,true,outofstock,no,,product-variant,10586
11496,L109SP-AM,Led Amarillo - Pasta Transparente Aro en plástico de sobreponer ,,onbackorder,no,,product-variant,10586
11497,L109AM,Led Amarillo - Pasta Transparente Sin Aro ,,onbackorder,no,,product-variant,10586
11498,L109A-AZ,Led Azul - Pasta Transparente Aro en acero ,,onbackorder,no,,product-variant,10586
11499,L109P-AZ,Led Azul - Pasta Transparente Aro en plástico ,,onbackorder,no,,product-variant,10586
11500,L109SP-AZ,Led Azul - Pasta Transparente Aro en plástico de sobreponer ,,onbackorder,no,,product-variant,10586
11501,L109AZ,Led Azul - Pasta Transparente Sin Aro ,true,instock,no,10,product-variant,10586
11502,L109A-BL,Led Blanco - Pasta Transparente Aro en acero ,,onbackorder,no,,product-variant,10586
11503,L109P-BL,Led Blanco - Pasta Transparente Aro en plástico ,,onbackorder,no,,product-variant,10586
11504,L109SP-BL,Led Blanco - Pasta Transparente Aro en plástico de sobreponer ,,onbackorder,no,,product-variant,10586
11505,L109BL,Led Blanco - Pasta Transparente Sin Aro ,true,instock,no,82,product-variant,10586
11506,L109A-MO,Led Morado - Pasta Transparente Aro en acero ,,onbackorder,no,,product-variant,10586
11507,L109P-MO,Led Morado - Pasta Transparente Aro en plástico ,,onbackorder,no,,product-variant,10586
11508,L109SP-MO,Led Morado - Pasta Transparente Aro en plástico de sobreponer ,,onbackorder,no,,product-variant,10586
11509,L109MO,Led Morado - Pasta Transparente Sin Aro ,true,instock,no,76,product-variant,10586
11510,L109A-PR,Led Rojo - Pasta Roja Aro en acero ,true,instock,no,180,product-variant,10586
11511,L109P-PR,Led Rojo - Pasta Roja Aro en plástico ,,onbackorder,no,,product-variant,10586
11512,L109SP-PR,Led Rojo - Pasta Roja Aro en plástico de sobreponer ,,onbackorder,no,,product-variant,10586
11513,L109PR,Led Rojo - Pasta Roja Sin Aro ,true,outofstock,no,,product-variant,10586
11514,L109A-RJ,Led Rojo - Pasta Transparente Aro en acero ,,onbackorder,no,,product-variant,10586
11515,L109P-RJ,Led Rojo - Pasta Transparente Aro en plástico ,,onbackorder,no,,product-variant,10586
11516,L109SP-RJ,Led Rojo - Pasta Transparente Aro en plástico de sobreponer ,,onbackorder,no,,product-variant,10586
11517,L109RJ,Led Rojo - Pasta Transparente Sin Aro ,,onbackorder,no,,product-variant,10586
11518,L109A-VE,Led Verde - Pasta Transparente Aro en acero ,,onbackorder,no,,product-variant,10586
11519,L109P-VE,Led Verde - Pasta Transparente Aro en plástico ,,onbackorder,no,,product-variant,10586
11520,L109SP-VE,Led Verde - Pasta Transparente Aro en plástico de sobreponer ,,onbackorder,no,,product-variant,10586
11521,L109VE,Led Verde - Pasta Transparente Sin Aro ,true,instock,no,2,product-variant,10586
11812,L540,Licuadora Cuadrada Bajo Perfil Neón Tipo Audi | L540,,instock,no,,variable,
11855,L540AM,Led Amarillo - Pasta Transparente ,,onbackorder,no,,product-variant,11812
11856,L540AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,11812
11857,L540BL,Led Blanco - Pasta Transparente ,,onbackorder,no,,product-variant,11812
11858,L540MO,Led Morado - Pasta Transparente ,true,instock,no,27,product-variant,11812
11860,L540RJ,Led Rojo - Pasta Transparente ,true,instock,no,1,product-variant,11812
11861,L540VE,Led Verde - Pasta Transparente ,,onbackorder,no,,product-variant,11812
11862,L580,Licuadora Cuadrada 4 Módulos | L580,,instock,no,,variable,
11869,L570,Licuadora Doble Strober 40W | L570,,instock,no,,variable,
11891,R913A,Regleta 10cm Neón Lux | X4 Unidades | R913A,,onbackorder,no,,variable,
11906,R913A-PA,Led Amarillo - Pasta Amarilla ,,onbackorder,no,,product-variant,11891
11907,R913A-AM,Led Amarillo - Pasta Transparente ,,onbackorder,no,,product-variant,11891
11908,R913A-AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,11891
11909,R913A-BL,Led Blanco - Pasta Transparente ,,onbackorder,no,,product-variant,11891
11910,R913A-MO,Led Morado - Pasta Transparente ,,onbackorder,no,,product-variant,11891
11911,R913A-PR,Led Rojo - Pasta Roja ,,onbackorder,no,,product-variant,11891
11912,R913A-RJ,Led Rojo - Pasta Transparente ,,onbackorder,no,,product-variant,11891
11913,R913A-VE,Led Verde - Pasta Transparente ,,onbackorder,no,,product-variant,11891
11919,R912A,Regleta 5 Led Flux | X4 Unidades | R912A,,instock,no,,variable,
11920,R912A-PA,Led Amarillo - Pasta Amarilla ,,onbackorder,no,,product-variant,11919
11921,R912A-AM,Led Amarillo - Pasta Transparente ,,onbackorder,no,,product-variant,11919
11922,R912A-AZ,Led Azul - Pasta Transparente ,true,instock,no,3,product-variant,11919
11923,R912A-BL,Led Blanco - Pasta Transparente ,,onbackorder,no,,product-variant,11919
11924,R912A-MO,Led Morado - Pasta Transparente ,,onbackorder,no,,product-variant,11919
11925,R912A-PR,Led Rojo - Pasta Roja ,,onbackorder,no,,product-variant,11919
11926,R912A-RJ,Led Rojo - Pasta Transparente ,,onbackorder,no,,product-variant,11919
11927,R912A-VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,11919
11929,R911A,Regleta 23cm Neón Lux | X6 Unidades | R911A,,instock,no,,variable,
11930,R911A-PA,Led Amarillo - Pasta Amarilla ,true,instock,no,256,product-variant,11929
11931,R911A-AM,Led Amarillo - Pasta Transparente ,,onbackorder,no,,product-variant,11929
11932,R911A-AZ,Led Azul - Pasta Transparente ,true,instock,no,5,product-variant,11929
11933,R911A-BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,11929
11934,R911A-MO,Led Morado - Pasta Transparente ,,onbackorder,no,,product-variant,11929
11935,R911A-PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,11929
11936,R911A-RJ,Led Rojo - Pasta Transparente ,,onbackorder,no,,product-variant,11929
11937,R911A-VE,Led Verde - Pasta Transparente ,,onbackorder,no,,product-variant,11929
11945,R910,Regleta 24cm Neón Lux Puntas Cromadas | X5 Unidades | R910,,instock,no,,variable,
11946,R910PA,Led Amarillo - Pasta Amarilla ,,onbackorder,no,,product-variant,11945
11947,R910AM,Led Amarillo - Pasta Transparente ,,onbackorder,no,,product-variant,11945
11948,R910AZ,Led Azul - Pasta Transparente ,true,instock,no,7,product-variant,11945
11949,R910BL,Led Blanco - Pasta Transparente ,,onbackorder,no,,product-variant,11945
11950,R910MO,Led Morado - Pasta Transparente ,,onbackorder,no,,product-variant,11945
11951,R910PR,Led Rojo - Pasta Roja ,,onbackorder,no,,product-variant,11945
11952,R910RJ,Led Rojo - Pasta Transparente ,,onbackorder,no,,product-variant,11945
11953,R910VE,Led Verde - Pasta Transparente ,,onbackorder,no,,product-variant,11945
11957,R909,Regleta 34cm Neón Lux Puntas Cromadas | X5 Unidades | R909,,instock,no,,variable,
11958,R909PA,Led Amarillo - Pasta Amarilla ,true,instock,no,162,product-variant,11957
11959,R909AM,Led Amarillo - Pasta Transparente ,,onbackorder,no,,product-variant,11957
11960,R909AZ,Led Azul - Pasta Transparente ,true,instock,no,4,product-variant,11957
11961,R909BL,Led Blanco - Pasta Transparente ,true,instock,no,25,product-variant,11957
11962,R909MO,Led Morado - Pasta Transparente ,,onbackorder,no,,product-variant,11957
11963,R909PR,Led Rojo - Pasta Roja ,,onbackorder,no,,product-variant,11957
11964,R909RJ,Led Rojo - Pasta Transparente ,,onbackorder,no,,product-variant,11957
11965,R909VE,Led Verde - Pasta Transparente ,true,instock,no,38,product-variant,11957
11973,R908A,Regleta 17cm Neón Lux | X4 Unidades | R908A,,instock,no,,variable,
11974,R908A-PA,Led Amarillo - Pasta Amarilla ,true,instock,no,277,product-variant,11973
11975,R908A-AM,Led Amarillo - Pasta Transparente ,,onbackorder,no,,product-variant,11973
11976,R908A-AZ,Led Azul - Pasta Transparente ,,onbackorder,no,,product-variant,11973
11977,R908A-BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,11973
11978,R908A-MO,Led Morado - Pasta Transparente ,,onbackorder,no,,product-variant,11973
11979,R908A-PR,Led Rojo - Pasta Roja ,true,instock,no,214,product-variant,11973
11980,R908A-RJ,Led Rojo - Pasta Transparente ,,onbackorder,no,,product-variant,11973
11981,R908A-VE,Led Verde - Pasta Transparente ,,onbackorder,no,,product-variant,11973
11984,R907A,Regleta 31cm Neón Lux | X7 Unidades | R907A,,onbackorder,no,,variable,
11985,R907A-PA,Led Amarillo - Pasta Amarilla ,,onbackorder,no,,product-variant,11984
11986,R907A-AM,Led Amarillo - Pasta Transparente ,,onbackorder,no,,product-variant,11984
11987,R907A-AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,11984
