Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
12790,601,Bombillo Stop | Juego | 601,,instock,no,,variable,
13171,800,Proyector LumenX 1 lupa bicolor | Paq X2 | 800,true,outofstock,no,,simple,
13288,801,Proyector LumenX 1 lupa bicolor | Paq X2 | 801,true,outofstock,no,,simple,
13296,802,Proyector LumenX 1 lupa bicolor Premium | Paq X2 | 802,true,outofstock,no,,simple,
13303,803,Proyector LumenX 2 lupa bicolor Premium Dual | Paq X2 | 803,true,outofstock,no,,simple,
13311,801 U,Bombillo LumenX Turbo Led | 801,,instock,no,,variable,
13312,801 H1,H1 ,true,instock,no,3,product-variant,13311
13313,801 H3,H3 ,true,instock,no,12,product-variant,13311
13331,802 U,Bombillo Unidad FL | 802,true,outofstock,no,,variable,
13334,802-H1,H1 ,true,outofstock,no,,product-variant,13331
13335,802-H3,H3 ,true,outofstock,no,,product-variant,13331
13336,802-H4,H4 ,true,outofstock,no,,product-variant,13331
13337,802-H7,H7 ,true,outofstock,no,,product-variant,13331
13340,803-U,Bombillo LumenX Turbo Led | Juego | 803,,instock,no,,variable,
13341,803-H1,H1 ,true,outofstock,no,,product-variant,13340
13342,803-H3,H3 ,true,outofstock,no,,product-variant,13340
13343,803-H4,H4 ,true,outofstock,no,,product-variant,13340
13365,808,Bombillo Golden Box | 808,,instock,no,,variable,
13366,808 H1,H1 ,true,instock,no,1,product-variant,13365
13367,808 H4,H4 ,true,outofstock,no,,product-variant,13365
13374,810 H4,Bombillo BI COLOR K1 | 810-H4,true,outofstock,no,,simple,
13380,603,Bombillo Stop Carcasa Aluminio | 603,true,outofstock,no,,simple,
13399,604,Bombillo De Techo Cuerpo Aluminio | Unidad | 604,true,outofstock,no,,variable,
13400,604-31,31 ,true,outofstock,no,,product-variant,13399
13401,604-36,36 ,true,outofstock,no,,product-variant,13399
13402,604-39,39 ,true,outofstock,no,,product-variant,13399
13403,604-41,41 ,true,outofstock,no,,product-variant,13399
13413,607,Bombillo T10 | 607,true,outofstock,no,,simple,
13428,610,Bombillo T10 - 6 Led 50/50 | Juego | 610,true,outofstock,no,,variable,
13434,611,Bombillo T10 - RGB | + control | Juego | 611,true,instock,no,1187,simple,
13440,613,Bombillo T10 - COB BLANCO | x10 uds | 613,true,outofstock,no,,simple,
13444,701,Exploradora Lumenx Redonda 4" | 701,true,outofstock,no,,simple,
13450,702,Exploradora LumenX Redonda 4" X | 702,true,instock,no,303,simple,
13454,703,Exploradora LumenX Redonda Ojo de Angel 4" | 703,,instock,no,,variable,
13455,703-AM,Led Amarillo ,true,outofstock,no,,product-variant,13454
13456,703-A,Led Azul ,true,instock,no,188,product-variant,13454
13457,703-R,Led Rojo ,true,instock,no,219,product-variant,13454
13464,704,Exploradora LumenX Rectangular Bi Color Lineal | 704,true,outofstock,no,,simple,
13467,706,Exploradora LumenX Rectangular Bi Color Lineal 6 LEDS | 706,true,outofstock,no,,simple,
13472,707-3,Exploradora LumenX Rectangular 3 Led | 707-3,true,instock,no,378,simple,
13476,707,Exploradora LumenX Rectangular 6 Led | 707,true,outofstock,no,,simple,
13482,708,Exploradora LumenX Rectangular 12 Led | 708,true,instock,no,238,simple,
13486,709,Exploradora LumenX Rectangular 18 Led | 709,true,instock,no,245,simple,
13490,711,Exploradora LumenX Rectangular bicolor | 711,true,outofstock,no,,simple,
13494,711-B,Exploradora LumenX Rectangular | 711-B,true,outofstock,no,,simple,
13497,711-I,Exploradora LumenX Rectangular de Incrustar | 711-I,true,instock,no,42,simple,
13501,711-5,Exploradora LumenX Rectangular | 711-5,true,instock,no,2,simple,
13506,711-7,Exploradora LumenX Rectangular bicolor | 711-7,true,outofstock,no,,simple,
13511,711-7B,Exploradora LumenX Rectangular | 711-7B,true,outofstock,no,,simple,
13515,711-80,Barra LumenX Rectangular | 711-80,true,outofstock,no,,simple,
