Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
6225,1TPD14,Tornillo Punta Diamante 1/4 | X10 Unidades | 1TPD14,true,outofstock,no,,simple,
6230,3002PC,Botón Tapa Persiana | Paquete X 10 Unidades | 3002PC,true,instock,no,252,simple,
6232,3003PC,Botón Cojineria KENWORTH | Paquete X 10 Unidades | 3003PC,true,instock,no,439,simple,
6235,3007PC,Botón Cojineria EAGLE | Paquete X 10 Unidades | 3007PC,true,instock,no,637,simple,
6237,3012PC,Botón Tapagoloso Punta Diamante | Paquete X 10 Unidades | 3012PC,true,instock,no,806,simple,
7959,3020,Tapa Tuerca 5" Cilíndrica 33mm | Unidad | 3020,,instock,no,,variable,
7962,3018,Tapa Tuerca 5" Hexagonal 41mm Presión | Unidad | 3018P,,instock,no,,variable,
7964,2012,Tapa Tuerca Rin Disco 33mm Esfera | Unidad | 2012,,instock,no,,variable,
7967,3017,Tapa Tuerca 3"1/2 Hexagonal 41mm | Unidad | 3017P,true,outofstock,no,,variable,
7968,MTM-014M2A,Matamosco Desviador En Acrílico y Aluminio Freightliner M2 | MTM-014M2A,true,instock,no,3,simple,
7969,MTM-004A,Matamosco Desviador En Acrílico y Aluminio Poderosa | MTM-004A,true,instock,no,35,simple,
7970,MTM-006A,Matamosco Desviador En Acrílico y Aluminio ProStar |MTM-006A,true,instock,no,12,simple,
7971,MTM-005A,Matamosco Desviador En Acrílico y Aluminio WorkStar | MTM-005A,true,outofstock,no,,simple,
7972,MTM-017A,Matamosco Desviador Acrílico y Aluminio Kenworth | MTM-017A,true,instock,no,5,simple,
7973,MTM-014A,Matamosco Desviador En Acrílico y Aluminio Freightliner Columbia | MTM-014A,true,instock,no,4,simple,
7974,MTM-015A,Matamosco Desviador En Acrílico y Aluminio Eagle | MTM-015A,true,instock,no,20,simple,
7975,MTM-INTA,Matamosco Desviador En Acrílico y Aluminio DuraStar Caregato | MTM-INTA,true,instock,no,28,simple,
7976,MTM-012CZ,Matamosco Desviador En Acrílico y Aluminio Carezapato | MTM-012CZ,true,instock,no,36,simple,
7977,MTM-INT94,Matamosco Desviador En Acrílico y Aluminio Inter 94 Caremarrano | MTM-INT94,true,instock,no,2,simple,
7978,3013PC,Botón Tapagoloso Punta Plana | Paquete X 10 Unidades | 3013PC,true,instock,no,137,simple,
7979,3TPD16,Tornillo Punta Diamante 3/16 | Paquete X 10 Unidades | 3TPD16,true,instock,no,51,simple,
9951,LT400,Lámpara Capotera 13 Leds | LT400,,instock,no,,variable,
10003,L125,Lámpara Lateral Rectangular Mediana | L125,,instock,no,,variable,
10058,L110,Lámpara Lateral Plana 12 Leds | L110,,instock,no,,variable,
10109,L102,Lámpara Lateral 7 Leds | L102,,instock,no,,variable,
10160,L101,Lámpara Lateral 6 Leds | L101,,instock,no,,variable,
10211,L126,Lámpara Lateral Morrison Neón con Aro Marcado | L126,,instock,no,,variable,
10262,L123,Lámpara Lateral Rectangular Pequeña Neón Lux | L123,,instock,no,,variable,
10315,L115,Lámpara Lateral 18 Led SMD | L115,,instock,no,,variable,
10370,L114,Lámpara Lateral 12 Led Combinado | L114,,instock,no,,variable,
10423,L113,Lámpara Lateral Perlada 12 Led SMD | L113,,instock,no,,variable,
10476,L112,Lámpara Lateral Rectangular Neón Lux | L112,,instock,no,,variable,
10534,S429,Stop Triple Neón con Regleta | S429,,instock,no,,variable,
10586,L109A,Lámpara Direccional Flecha 30 Led Aro Acero | L109A,,instock,no,,variable,
10816,L108P,Lámpara Lateral 24 Led Aro Plástico | L108P,,instock,no,,variable,
10867,L106,Lámpara Lateral 12 Led Apolo | L106,,instock,no,,variable,
10920,L104,Lámpara Lateral 16 Led American | L104,,instock,no,,variable,
10974,L103,Lámpara Lateral 8 Led | L103,,instock,no,,variable,
11490,L109A-PA,Led Amarillo - Pasta Amarilla ,true,instock,no,646,product-variant,10586
11494,L109A-AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,10586
11498,L109A-AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,10586
11502,L109A-BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,10586
11506,L109A-MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,10586
11510,L109A-PR,Led Rojo - Pasta Roja ,true,instock,no,466,product-variant,10586
11514,L109A-RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,10586
11518,L109A-VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,10586
11812,L540,Licuadora Cuadrada Bajo Perfil Neón Tipo Audi | L540,true,outofstock,no,,variable,
11855,L540AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,11812
11856,L540AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,11812
11857,L540BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,11812
11858,L540MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,11812
11860,L540RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,11812
11861,L540VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,11812
11862,L580,Licuadora Cuadrada 4 Módulos | L580,,instock,no,,variable,
11869,L570,Licuadora Doble Strober 40W | L570,,instock,no,,variable,
11891,R913A,Regleta 10cm Neón Lux | X4 Unidades | R913A,,instock,no,,variable,
11906,R913A-PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,11891
11907,R913A-AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,11891
11908,R913A-AZ,Led Azul - Pasta Transparente ,true,instock,no,4,product-variant,11891
11909,R913A-BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,11891
11910,R913A-MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,11891
11911,R913A-PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,11891
11912,R913A-RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,11891
11913,R913A-VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,11891
11919,R912A,Regleta 5 Led Flux | X4 Unidades | R912A,,instock,no,,variable,
11920,R912A-PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,11919
11921,R912A-AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,11919
11922,R912A-AZ,Led Azul - Pasta Transparente ,true,instock,no,2,product-variant,11919
11923,R912A-BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,11919
11924,R912A-MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,11919
11925,R912A-PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,11919
11926,R912A-RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,11919
11927,R912A-VE,Led Verde - Pasta Transparente ,true,instock,no,2,product-variant,11919
11929,R911A,Regleta 23cm Neón Lux | X6 Unidades | R911A,,instock,no,,variable,
11930,R911A-PA,Led Amarillo - Pasta Amarilla ,true,instock,no,242,product-variant,11929
11931,R911A-AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,11929
11932,R911A-AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,11929
11933,R911A-BL,Led Blanco - Pasta Transparente ,true,instock,no,9,product-variant,11929
11934,R911A-MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,11929
11935,R911A-PR,Led Rojo - Pasta Roja ,true,instock,no,50,product-variant,11929
